recclass,Main Category
Acapulcoite,Achondrite
Achondrite-ung,Achondrite
Angrite,Achondrite
Aubrite,Achondrite
Aubrite-an,Achondrite
Brachinite,Achondrite
C,Chondrite
C2-ung,Chondrite
C3-ung,Chondrite
C4-ung,Chondrite
C5/6-ung,Chondrite
CBa,Chondrite
CH/CBb,Chondrite
CI1,Chondrite
CK3,Chondrite
CK4,Chondrite
CK4-an,Chondrite
CK6,Chondrite
CM1,Chondrite
CM2,Chondrite
CO3,Chondrite
CO3.0,Chondrite
CO3.2,Chondrite
CO3.3,Chondrite
CO3.4,Chondrite
CO3.5,Chondrite
CO3.6,Chondrite
CO3.7,Chondrite
CO3.8,Chondrite
CR,Chondrite
CR-an,Chondrite
CR2,Chondrite
CR2-an,Chondrite
CV3,Chondrite
Chondrite-ung,Chondrite
Diogenite,Achondrite
Diogenite-pm,Achondrite
EH3,Chondrite
EH3/4-an,Chondrite
EH4,Chondrite
EH4/5,Chondrite
EH5,Chondrite
EH7-an,Chondrite
EL5,Chondrite
EL6,Chondrite
EL6/7,Chondrite
Eucrite,Achondrite
Eucrite-br,Achondrite
Eucrite-cm,Achondrite
Eucrite-mmict,Achondrite
Eucrite-pmict,Achondrite
H,Chondrite
H-melt rock,Chondrite
H/L3.6,Chondrite
H/L3.9,Chondrite
H/L4,Chondrite
H3,Chondrite
H3-4,Chondrite
H3-5,Chondrite
H3-6,Chondrite
H3.4,Chondrite
H3.5,Chondrite
H3.6,Chondrite
H3.7,Chondrite
H3.8,Chondrite
H3.8-an,Chondrite
H3.9,Chondrite
H3/4,Chondrite
H4,Chondrite
H4-5,Chondrite
H4-6,Chondrite
H4-an,Chondrite
H4/5,Chondrite
H4/6,Chondrite
H5,Chondrite
H5-6,Chondrite
H5-7,Chondrite
H5-an,Chondrite
H5-melt breccia,Chondrite
H5/6,Chondrite
H6,Chondrite
H?,Chondrite
Howardite,Achondrite
Iron,Magnetic Iron
"Iron, IAB complex",Nonmagnetic Iron
"Iron, IAB-MG",Nonmagnetic Iron
"Iron, IAB-an",Nonmagnetic Iron
"Iron, IAB-sHH",Nonmagnetic Iron
"Iron, IAB-sHL",Nonmagnetic Iron
"Iron, IAB-sLH",Nonmagnetic Iron
"Iron, IAB-sLL",Nonmagnetic Iron
"Iron, IAB-sLM",Nonmagnetic Iron
"Iron, IAB-ung",Nonmagnetic Iron
"Iron, IAB?",Nonmagnetic Iron
"Iron, IC",Magnetic Iron
"Iron, IC-an",Magnetic Iron
"Iron, IIAB",Magnetic Iron
"Iron, IIC",Magnetic Iron
"Iron, IID",Magnetic Iron
"Iron, IID-an",Magnetic Iron
"Iron, IIE",Magnetic Iron
"Iron, IIE-an",Magnetic Iron
"Iron, IIF",Magnetic Iron
"Iron, IIG",Magnetic Iron
"Iron, IIIAB",Magnetic Iron
"Iron, IIIAB-an",Magnetic Iron
"Iron, IIIAB?",Magnetic Iron
"Iron, IIIE",Magnetic Iron
"Iron, IIIE-an",Magnetic Iron
"Iron, IIIF",Magnetic Iron
"Iron, IVA",Magnetic Iron
"Iron, IVA-an",Magnetic Iron
"Iron, IVB",Magnetic Iron
"Iron, ungrouped",Magnetic Iron
K3,Chondrite
L,Chondrite
L-imp melt,Chondrite
L/LL3.4,Chondrite
L/LL4,Chondrite
L/LL4/5,Chondrite
L/LL5,Chondrite
L/LL6,Chondrite
L/LL6-an,Chondrite
L3,Chondrite
L3-4,Chondrite
L3-6,Chondrite
L3.2,Chondrite
L3.4,Chondrite
L3.5,Chondrite
L3.5-5,Chondrite
L3.6,Chondrite
L3.7,Chondrite
L3.7-6,Chondrite
L3.8-an,Chondrite
L3.9,Chondrite
L4,Chondrite
L4-5,Chondrite
L4-6,Chondrite
L4/5,Chondrite
L5,Chondrite
L5-6,Chondrite
L5-7,Chondrite
L5/6,Chondrite
L6,Chondrite
L6/7,Chondrite
LL,Chondrite
LL3,Chondrite
LL3-6,Chondrite
LL3.00,Chondrite
LL3.1,Chondrite
LL3.15,Chondrite
LL3.2,Chondrite
LL3.3,Chondrite
LL3.4,Chondrite
LL3.5,Chondrite
LL3.6,Chondrite
LL3.7,Chondrite
LL3.8,Chondrite
LL3.9,Chondrite
LL4,Chondrite
LL4-6,Chondrite
LL5,Chondrite
LL6,Chondrite
LL7,Chondrite
Lodranite,Achondrite
Lunar,Achondrite
Lunar (anorth),Achondrite
Martian (chassignite),Achondrite
Martian (nakhlite),Achondrite
Martian (shergottite),Achondrite
Mesosiderite,Mesosiderite
Mesosiderite-A,Mesosiderite
Mesosiderite-A1,Mesosiderite
Mesosiderite-A2,Mesosiderite
Mesosiderite-A3,Mesosiderite
Mesosiderite-A3/4,Mesosiderite
Mesosiderite-A4,Mesosiderite
Mesosiderite-B1,Mesosiderite
Mesosiderite-B2,Mesosiderite
Mesosiderite-B4,Mesosiderite
Mesosiderite-C,Mesosiderite
Mesosiderite-an,Mesosiderite
Mesosiderite?,Mesosiderite
OC,Unknown
Pallasite,Pallasite
"Pallasite, PES",Pallasite
"Pallasite, PMG",Pallasite
"Pallasite, PMG-an",Pallasite
"Pallasite, ungrouped",Pallasite
Pallasite?,Pallasite
R3-6,Chondrite
R3.8,Chondrite
R3.8-6,Chondrite
R4,Chondrite
Relict iron,Unknown
Stone-uncl,Unknown
Ureilite,Achondrite
Ureilite-an,Achondrite
Ureilite-pmict,Achondrite
Winonaite,Achondrite
